"time","h","v","der(h)","der(v)","v_new","foo","flying","impact"
1.194,0.1797707221541348,1.087961593796134,1.087961593796134,-9.81,2.170428989938069,2,1,0
1.2,0.1861219117168477,1.029101593796134,1.029101593796134,-9.81,2.170428989938069,2,1,0
1.206,0.1921199412795639,0.9702415937961341,0.9702415937961341,-9.81,2.170428989938069,2,1,0
1.212,0.1977648108422835,0.911381593796134,0.911381593796134,-9.81,2.170428989938069,2,1,0
1.218,0.2030565204050065,0.852521593796134,0.852521593796134,-9.81,2.170428989938069,2,1,0
1.224,0.2079950699677328,0.793661593796134,0.793661593796134,-9.81,2.170428989938069,2,1,0
1.23,0.2125804595304625,0.7348015937961339,0.7348015937961339,-9.81,2.170428989938069,2,1,0
1.236,0.2168126890931955,0.6759415937961338,0.6759415937961338,-9.81,2.170428989938069,2,1,0
1.242,0.2206917586559318,0.6170815937961338,0.6170815937961338,-9.81,2.170428989938069,2,1,0
1.248,0.2242176682186716,0.5582215937961337,0.5582215937961337,-9.81,2.170428989938069,2,1,0
1.254,0.2273904177814146,0.4993615937961337,0.4993615937961337,-9.81,2.170428989938069,2,1,0
1.26,0.2302100073441611,0.4405015937961336,0.4405015937961336,-9.81,2.170428989938069,2,1,0
1.266,0.2326764369069108,0.3816415937961335,0.3816415937961335,-9.81,2.170428989938069,2,1,0
1.272,0.2347897064696639,0.3227815937961335,0.3227815937961335,-9.81,2.170428989938069,2,1,0
1.278,0.2365498160324204,0.2639215937961334,0.2639215937961334,-9.81,2.170428989938069,2,1,0
1.284,0.2379567655951655,0.2050615937961324,0.2050615937961324,-9.81,2.170428989938069,2,1,0
1.29,0.2390105551579052,0.1462015937961325,0.1462015937961325,-9.81,2.170428989938069,2,1,0
1.296,0.2397111847206458,0.08734159379613238,0.08734159379613238,-9.81,2.170428989938069,2,1,0
1.302,0.2400586542833872,0.02848159379613247,0.02848159379613247,-9.81,2.170428989938069,2,1,0
1.304903322517458,0.2400999999095258,-1.001256855204247e-10,-1.001256855204247e-10,-9.81,2.170428989938069,2,1,0
1.304903322517458,0.2400999999095258,-1.001256855204247e-10,-1.001256855204247e-10,-9.81,2.170428989938069,2,1,0
1.308,0.2400529638452857,-0.03037840620386749,-0.03037840620386749,-9.81,2.170428989938069,2,1,0
1.314,0.2396941134079252,-0.0892384062038668,-0.0892384062038668,-9.81,2.170428989938069,2,1,0
1.32,0.2389821029706264,-0.1480984062038675,-0.1480984062038675,-9.81,2.170428989938069,2,1,0
1.326,0.2379169325333604,-0.2069584062038667,-0.2069584062038667,-9.81,2.170428989938069,2,1,0
1.332,0.2364986020960955,-0.2658184062038668,-0.2658184062038668,-9.81,2.170428989938069,2,1,0
